CATEGORIA,CATEGORIA2,SEGMENTO,Mes,FATURAMENTO,MARGEM
ATEMOIA,FRUTAS/FRUTOS,FLV NACIONAIS,Fev,30034.369999999995,0.23
ATEMOIA,FRUTAS/FRUTOS,FLV NACIONAIS,Jan,34523.899999999994,0.2
ATEMOIA,FRUTAS/FRUTOS,FLV NACIONAIS,Mar,36252.340000000004,0.19
ATEMOIA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Fev,540.0,0.45
ATEMOIA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Jan,898.0,0.36
ATEMOIA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Mar,-324.0,0.43
BANANA,FRUTAS/FRUTOS,FLV IMPORTADOS,Abr,92550.0,0.13
BANANA,FRUTAS/FRUTOS,FLV IMPORTADOS,Fev,331937.99,-0.26
BANANA,FRUTAS/FRUTOS,FLV IMPORTADOS,Jan,603163.46,0.21
BANANA,FRUTAS/FRUTOS,FLV IMPORTADOS,Mar,775349.56,0.07
BANANA,FRUTAS/FRUTOS,FLV NACIONAIS,Abr,647644.25,0.21
BANANA,FRUTAS/FRUTOS,FLV NACIONAIS,Fev,2906310.460000002,0.28
BANANA,FRUTAS/FRUTOS,FLV NACIONAIS,Jan,3425705.1500000027,0.24
BANANA,FRUTAS/FRUTOS,FLV NACIONAIS,Mar,3941704.840000002,0.2
BANANA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Fev,150.0,0.3
BANANA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Jan,760.0,0.27
BANANA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Mar,201.8,0.11
BATATA,FRUTAS/FRUTOS,FLV NACIONAIS,Abr,2760.84,0.32
BATATA,FRUTAS/FRUTOS,FLV NACIONAIS,Fev,7785.48,0.31
BATATA,FRUTAS/FRUTOS,FLV NACIONAIS,Jan,9310.48,0.19
BATATA,FRUTAS/FRUTOS,FLV NACIONAIS,Mar,9174.48,0.3
BATATA,TUBERCULOS,FLV IMPORTADOS,Jan,969.0,0.33
BATATA,TUBERCULOS,FLV NACIONAIS,Abr,1272669.15,0.19
BATATA,TUBERCULOS,FLV NACIONAIS,Fev,3782110.2500000005,0.24
BATATA,TUBERCULOS,FLV NACIONAIS,Jan,4092523.6400000006,0.26
BATATA,TUBERCULOS,FLV NACIONAIS,Mar,4061359.0,0.2
BATATA,TUBERCULOS,SEGMENTO ORGANICOS,Abr,140.0,0.34
BATATA,TUBERCULOS,SEGMENTO ORGANICOS,Fev,791.2,0.23
BATATA,TUBERCULOS,SEGMENTO ORGANICOS,Jan,588.3,0.34
BATATA,TUBERCULOS,SEGMENTO ORGANICOS,Mar,-5.5,0.29
BATATA,TUBERCULOS - ORGANICOS,FLV NACIONAIS,Abr,60.1,0.33
BATATA,TUBERCULOS - ORGANICOS,FLV NACIONAIS,Fev,61.650000000000006,0.3
BATATA,TUBERCULOS - ORGANICOS,FLV NACIONAIS,Jan,46.3,0.29
BATATA,TUBERCULOS - ORGANICOS,FLV NACIONAIS,Mar,145.45,0.32
BATATA,TUBERCULOS - ORGANICOS,SEGMENTO ORGANICOS,Abr,322.07,0.52
BATATA,TUBERCULOS - ORGANICOS,SEGMENTO ORGANICOS,Fev,2100.11,0.36
BATATA,TUBERCULOS - ORGANICOS,SEGMENTO ORGANICOS,Jan,1314.0600000000002,0.33
BATATA,TUBERCULOS - ORGANICOS,SEGMENTO ORGANICOS,Mar,2454.9399999999996,0.52
BERINJELA,FRUTAS/FRUTOS,FLV NACIONAIS,Abr,10145.78,0.4
BERINJELA,FRUTAS/FRUTOS,FLV NACIONAIS,Fev,35189.51,0.3
BERINJELA,FRUTAS/FRUTOS,FLV NACIONAIS,Jan,44202.56,0.37
BERINJELA,FRUTAS/FRUTOS,FLV NACIONAIS,Mar,47567.57,0.22
BERINJELA,FRUTAS/FRUTOS - ORGANICOS,FLV NACIONAIS,Fev,3.0,0.53
BERINJELA,FRUTAS/FRUTOS - ORGANICOS,FLV NACIONAIS,Jan,100.0,0.5
BERINJELA,FRUTAS/FRUTOS - ORGANICOS,FLV NACIONAIS,Mar,146.75,0.38
BERINJELA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Abr,135.0,-0.04
BERINJELA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Fev,349.5,0.49
BERINJELA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Jan,979.0,0.49
BERINJELA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Mar,2217.2000000000003,0.48
BETERRABA,FRUTAS/FRUTOS - ORGANICOS,FLV NACIONAIS,Fev,485.40000000000003,0.16
BETERRABA,FRUTAS/FRUTOS - ORGANICOS,FLV NACIONAIS,Jan,69.25999999999999,0.25
BETERRABA,FRUTAS/FRUTOS - ORGANICOS,FLV NACIONAIS,Mar,182.2,0.21
BETERRABA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Abr,277.95,0.36
BETERRABA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Fev,3800.25,0.25
BETERRABA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Jan,4639.62,0.25
BETERRABA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Mar,7254.540000000001,0.28
BETERRABA,ORGANICO INDUSTRIALIZADO,FLV NACIONAIS,Jan,15.0,0.24
BETERRABA,ORGANICO INDUSTRIALIZADO,FLV NACIONAIS,Mar,24.25,0.25
BETERRABA,ORGANICO INDUSTRIALIZADO,SEGMENTO ORGANICOS,Abr,58.24,0.73
BETERRABA,ORGANICO INDUSTRIALIZADO,SEGMENTO ORGANICOS,Fev,1571.09,0.31
BETERRABA,ORGANICO INDUSTRIALIZADO,SEGMENTO ORGANICOS,Jan,2546.82,0.29
BETERRABA,ORGANICO INDUSTRIALIZADO,SEGMENTO ORGANICOS,Mar,2606.76,0.32
BETERRABA,TUBERCULOS,FLV NACIONAIS,Abr,92423.73999999999,0.23
BETERRABA,TUBERCULOS,FLV NACIONAIS,Fev,411448.44000000006,0.18
BETERRABA,TUBERCULOS,FLV NACIONAIS,Jan,402439.80000000005,0.26
BETERRABA,TUBERCULOS,FLV NACIONAIS,Mar,417848.14,0.22
BETERRABA,TUBERCULOS,SEGMENTO ORGANICOS,Mar,59.0,0.35
BETERRABA,TUBERCULOS - ORGANICOS,FLV NACIONAIS,Abr,170.4,0.35
BETERRABA,TUBERCULOS - ORGANICOS,FLV NACIONAIS,Fev,394.55000000000007,0.41
BETERRABA,TUBERCULOS - ORGANICOS,FLV NACIONAIS,Jan,294.8,0.21
BETERRABA,TUBERCULOS - ORGANICOS,FLV NACIONAIS,Mar,329.03,0.33
BETERRABA,TUBERCULOS - ORGANICOS,SEGMENTO ORGANICOS,Abr,1074.3899999999999,0.43
BETERRABA,TUBERCULOS - ORGANICOS,SEGMENTO ORGANICOS,Fev,6114.59,0.45
BETERRABA,TUBERCULOS - ORGANICOS,SEGMENTO ORGANICOS,Jan,4890.62,0.39
BETERRABA,TUBERCULOS - ORGANICOS,SEGMENTO ORGANICOS,Mar,10273.060000000001,0.44
BROCOLIS,LEGUMES,FLV NACIONAIS,Jan,29.4,0.16
BROCOLIS,VERDURAS,FLV NACIONAIS,Abr,3383.4,0.33
BROCOLIS,VERDURAS,FLV NACIONAIS,Fev,43744.14000000001,0.02
BROCOLIS,VERDURAS,FLV NACIONAIS,Jan,41618.13999999999,0.41
BROCOLIS,VERDURAS,FLV NACIONAIS,Mar,60981.25,0.16
BROCOLIS,VERDURAS,SEGMENTO ORGANICOS,Fev,171.3,0.26
BROCOLIS,VERDURAS,SEGMENTO ORGANICOS,Jan,6.3,0.29
BROCOLIS,VERDURAS,SEGMENTO ORGANICOS,Mar,61.3,0.07
BROCOLIS,VERDURAS - ORGANICAS,FLV NACIONAIS,Abr,5.0,0.24
BROCOLIS,VERDURAS - ORGANICAS,FLV NACIONAIS,Fev,300.9,0.25
BROCOLIS,VERDURAS - ORGANICAS,FLV NACIONAIS,Jan,600.0,0.18
BROCOLIS,VERDURAS - ORGANICAS,FLV NACIONAIS,Mar,783.3,0.36
BROCOLIS,VERDURAS - ORGANICAS,SEGMENTO ORGANICOS,Abr,-394.79999999999995,0.45
BROCOLIS,VERDURAS - ORGANICAS,SEGMENTO ORGANICOS,Fev,21591.38000000001,0.28
BROCOLIS,VERDURAS - ORGANICAS,SEGMENTO ORGANICOS,Jan,24272.420000000002,0.3
BROCOLIS,VERDURAS - ORGANICAS,SEGMENTO ORGANICOS,Mar,29580.100000000006,0.33
BROTO DE FEIJAO,TUBERCULOS,FLV NACIONAIS,Fev,71.5,-0.08
BROTO DE FEIJAO,TUBERCULOS,FLV NACIONAIS,Jan,249.7000000000002,0.02
BROTO DE FEIJAO,TUBERCULOS,SEGMENTO ORGANICOS,Abr,101.8,0.08
BROTO DE FEIJAO,TUBERCULOS,SEGMENTO ORGANICOS,Jan,27.0,0.3
CABOTIA,FRUTAS/FRUTOS,FLV IMPORTADOS,Jan,92.0,0.27
CABOTIA,FRUTAS/FRUTOS,FLV NACIONAIS,Abr,65630.48000000001,0.26
CABOTIA,FRUTAS/FRUTOS,FLV NACIONAIS,Fev,272341.6499999998,0.23
CABOTIA,FRUTAS/FRUTOS,FLV NACIONAIS,Jan,250780.72999999978,0.23
CABOTIA,FRUTAS/FRUTOS,FLV NACIONAIS,Mar,270313.5199999996,0.26
CACAU,FRUTAS/FRUTOS,FLV NACIONAIS,Abr,134.1,0.36
CACAU,FRUTAS/FRUTOS,FLV NACIONAIS,Mar,9.6,0.2
CACAU,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Jan,144.0,0.31
CACAU,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Mar,864.0,0.49
CAJU,FRUTAS/FRUTOS,FLV NACIONAIS,Fev,1598.36,0.12
CAJU,FRUTAS/FRUTOS,FLV NACIONAIS,Jan,998.9200000000001,0.35
CAJU,FRUTAS/FRUTOS,FLV NACIONAIS,Mar,728.0,-0.07
CAJU,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Fev,1738.76,0.43
CAJU,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Jan,1786.5300000000002,0.36
CAJU,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Mar,560.71,0.42
CAQUI,FRUTAS/FRUTOS,FLV IMPORTADOS,Fev,2733.75,-4.06
CAQUI,FRUTAS/FRUTOS,FLV IMPORTADOS,Jan,126490.0,0.11
CAQUI,FRUTAS/FRUTOS,FLV NACIONAIS,Abr,105135.75,-2.48
