CODFILIAL,SEGMENTO,FATURAMENTO,MARGEM,CLIENTE,Mes
21,FLV NACIONAIS,2612.5,6.77569492822967%,CASA NOSSA SENHORA,Fev
04,FLV NACIONAIS,2612.34,33.0734348030834%,MERCADO CIBRAZEM,Jan
23,FLV NACIONAIS,2611.8,20.5886032621181%,MERCADO CAMPO,Mar
14,ALIMENTOS INDUSTRIALIZADOS,2611.26,43.9171710208865%,KRUGER,Mar
11,FLV NACIONAIS,2609,24.8407347642775%,SUPERMERCADOS SANTOS,Jan
04,FLV NACIONAIS,2608.75,34.511344513656%,BENEDITO BAR,Fev
23,FLV NACIONAIS,2608.14,21.7636070149608%,VIALE TOWER,Fev
04,FLV NACIONAIS,2607.3,35.74292294711%,MINIMERCADO CICCHELE,Fev
14,ALIMENTOS INDUSTRIALIZADOS,2604.84,39.6429427527218%,BAVARESCO,Mar
02,FLV NACIONAIS,2603,18.834806377257%,SNAK S BURGER,Jan
04,FLV NACIONAIS,2602.83,33.459853697706%,VILMAR ANDRE DE BONF,Fev
04,FLV NACIONAIS,2602.75,27.2286635289598%,CENTRAL LANCHES,Fev
05,FLV NACIONAIS,2602.5,32.2026989433237%,SUPER ZENI,Jan
14,ALIMENTOS INDUSTRIALIZADOS,2600.96,43.2034145084892%,SUPER CENTRAL,Jan
05,FLV NACIONAIS,2600.4,24.3270712198123%,TIARLES ANGELO MIGLI,Jan
11,FLV NACIONAIS,2600,16.0075419230769%,VERDUREIRA CENTRAL,Abr
11,FLV NACIONAIS,2600,24.3295434615385%,REDE DOIS IRMAOS,Jan
11,FLV NACIONAIS,2600,16.5383211538462%,CHIPITOSKI,Jan
12,FLV IMPORTADOS,2600,12.106195%,MV FRUTAS IMPORTADAS,Mar
13,SEGMENTO ORGANICOS,2600,35.0219319230769%,COMPER PASSA VINTE,Abr
04,FLV NACIONAIS,2599.52,33.6673778235982%,SUPER MARCON,Fev
05,FLV NACIONAIS,2598.72,23.8607214320897%,ARTHURS COMERCIO DE,Jan
04,FLV NACIONAIS,2598.7,34.5295347673837%,COOPAIA,Mar
13,FLV NACIONAIS,2597.45,27.5693726539491%,MAHINA POKE CULINARI,Jan
04,FLV NACIONAIS,2597.35,28.1392819604597%,JEAN PAULO DA CUNHA,Fev
12,FLV IMPORTADOS,2595,19.3143117533719%,MERCADO ALIANCA,Fev
05,FLV NACIONAIS,2594,33.1833072474942%,MERCADO SARACINI,Mar
05,FLV NACIONAIS,2593.5,32.0254008097166%,AGA SUPERMERCADO,Abr
